YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,CRS_ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED,SkyCondition,DryBulbCelsius,Visibility,WindSpeed,WindDirection,StationPressure
2016,3,5,6,HA,51,12478,12173,1000,0,0,1640,-22,0,0,CLR,1.7,10,5,VR ,30.06
2016,3,6,7,HA,51,12478,12173,1000,0,0,1640,,,0,OVC070,3.3,10,3,VR ,30.16
2016,3,7,1,HA,51,12478,12173,1000,1,0,1640,-24,0,0,CLR,8.3,7,14,260,30.04
2016,3,8,2,HA,51,12478,12173,1000,0,0,1640,-12,0,0,OVC100,16.7,7,3,40,30.01
2016,3,9,3,HA,51,12478,12173,905,0,0,1545,19,1,0,CLR,15,6,0,0,29.99
2016,3,10,4,HA,51,12478,12173,1000,0,0,1640,-20,0,0,CLR,23.3,10,5,VR ,29.86
2016,3,11,5,HA,51,12478,12173,1000,23,1,1640,36,1,0,BKN037,14.4,10,10,300,29.98
2016,3,12,6,HA,51,12478,12173,1000,0,0,1640,-49,0,0,CLR,11.7,10,M,M,30.14
2016,3,13,7,HA,51,12478,12173,1000,0,0,1540,-40,0,0,CLR,15.6,10,8,30,29.91
2016,3,14,1,HA,51,12478,12173,1000,0,0,1540,-39,0,0,OVC015,6.1,7,13,60,29.97
2016,3,15,2,HA,51,12478,12173,1000,3,0,1540,1,0,0,OVC011,10,10,6,VR ,29.65
2016,3,16,3,HA,51,12478,12173,1000,0,0,1540,-12,0,0,CLR,15,10,5,280,29.71
2016,3,17,4,HA,51,12478,12173,1000,1,0,1540,-37,0,0,CLR,14.4,10,10,250,29.68
2016,3,18,5,HA,51,12478,12173,1000,0,0,1540,-54,0,0,SCT070,12.8,10,20,290,29.64
2016,3,19,6,HA,51,12478,12173,1000,0,0,1540,-25,0,0,CLR,5.6,10,6,VR ,29.98
2016,3,20,7,HA,51,12478,12173,1000,0,0,1540,-40,0,0,OVC075,2.2,10,8,60,30.02
2016,3,21,1,HA,51,12478,12173,1000,0,0,1540,-38,0,0,CLR,6.7,10,7,VR ,29.66
2016,3,22,2,HA,51,12478,12173,1000,0,0,1540,-32,0,0,CLR,7.2,10,7,VR ,30.02
2016,3,23,3,HA,51,12478,12173,1000,0,0,1540,-34,0,0,CLR,15.6,10,7,260,29.8
2016,3,24,4,HA,51,12478,12173,1000,0,0,1540,-50,0,0,CLR,9.4,10,11,70,29.94
2016,3,25,5,HA,51,12478,12173,1000,0,0,1540,-36,0,0,BKN028 OVC035,19.4,9,3,180,29.57
2016,3,26,6,HA,51,12478,12173,1000,0,0,1540,-20,0,0,CLR,9.4,10,6,VR ,30.18
2016,3,27,7,HA,51,12478,12173,1000,0,0,1540,-39,0,0,BKN026,10.6,10,0,0,30.23
2016,3,28,1,HA,51,12478,12173,1000,0,0,1540,-21,0,0,OVC005,7.2,8,6,VR ,29.46
2016,3,29,2,HA,51,12478,12173,1000,0,0,1540,-47,0,0,CLR,9.4,10,10,300,29.8
2016,3,30,3,HA,51,12478,12173,1000,0,0,1540,-20,0,0,CLR,11.1,10,3,350,30.2
2016,3,31,4,HA,51,12478,12173,1000,0,0,1540,-32,0,0,BKN050,19.4,10,13,240,29.82
2016,3,24,4,F9,1462,10397,12953,630,0,0,900,18,1,0,FEW055 SCT200 BKN250,12.2,10,6,100,28.96
2016,3,24,4,F9,1463,12953,10397,945,16,1,1235,5,0,0,FEW021,9.4,10,8,80,29.96
2016,3,24,4,F9,1142,13303,12953,1322,168,1,1630,,,0,FEW016 BKN022 OVC250,26.7,10,16,120,30
2016,3,24,4,F9,1143,12953,13303,1715,326,1,2053,288,1,0,OVC012,8.3,7,8,110,29.8
2016,3,1,2,NK,171,12953,11697,1525,0,0,1836,-9,0,0,CLR,8.3,10,10,170,29.88
2016,3,2,3,NK,171,12953,11697,1525,82,1,1836,82,1,0,CLR,4.4,10,11,310,29.66
2016,3,3,4,NK,171,12953,11697,1525,252,1,1836,262,1,0,CLR,1.7,10,8,270,30.05
2016,3,4,5,NK,171,12953,11697,1525,25,1,1836,35,1,0,CLR,3.9,10,10,20,29.85
2016,3,5,6,NK,171,12953,11697,1525,2,0,1836,-12,0,0,OVC100,4.4,10,7,50,29.99
2016,3,6,7,NK,171,12953,11697,1525,11,0,1836,-10,0,0,CLR,6.7,10,3,VR ,30.1
2016,3,7,1,NK,171,12953,11697,1525,9,0,1836,-22,0,0,CLR,15.6,10,7,VR ,29.85
2016,3,8,2,NK,171,12953,11697,1525,0,0,1836,-42,0,0,CLR,13.3,7,5,VR ,29.97
2016,3,9,3,NK,171,12953,11697,1525,9,0,1836,32,1,0,CLR,21.7,10,3,VR ,29.85
2016,3,10,4,NK,171,12953,11697,1525,0,0,1836,-15,0,0,SCT100,25.6,8,5,260,29.75
2016,3,11,5,NK,171,12953,11697,1525,0,0,1836,10,0,0,CLR,17.2,10,10,10,30.03
